date,median_house,gold_price,dow_open,gdp,fed_rate,13_wk,5_yr,10_yr,30_yr,unemployment,gas_price,earnings_chg,cpi,inflation,cars_sold,housing_starts,recession
Aug-91,120800.00,356.721,2911.70,-0.10,5.86,5.55,7.78,8.20,8.38,6.90,1.20,21.00,136.6,0.29,12.57,1049.00,N
Sep-91,120000.00,348.46,3024.80,-0.10,5.50,5.34,7.32,7.81,8.05,6.90,1.20,25.00,137.2,0.44,13.11,1015.00,N
Oct-91,122600.00,358.826,3043.60,1.20,5.40,5.10,6.90,7.45,7.81,7.00,1.18,19.00,137.4,0.15,12.22,1079.00,N
Nov-91,118500.00,359.96,3016.80,1.20,5.03,4.75,6.71,7.48,7.93,7.00,1.19,-60.00,137.8,0.29,12.58,1103.00,N
Dec-91,122000.00,361.875,3069.10,1.20,4.86,4.38,6.43,7.32,7.92,7.30,1.18,33.00,137.9,0.07,12.66,1079.00,N
Jan-92,120000.00,354.436,2894.70,2.90,4.09,3.86,5.98,6.78,7.46,7.30,1.14,42.00,138.1,0.15,12.59,1176.00,N
Feb-92,117200.00,353.853,3168.80,2.90,4.40,3.84,6.52,7.36,7.82,7.40,1.12,-59.00,138.6,0.36,12.93,1250.00,N
Mar-92,120000.00,344.641,3223.40,2.90,4.13,4.03,6.73,7.38,7.90,7.40,1.12,55.00,139.3,0.51,12.82,1297.00,N
Apr-92,120000.00,338.728,3267.70,3.20,4.98,4.01,6.82,7.46,7.90,7.40,1.14,155.00,139.5,0.14,12.55,1099.00,N
May-92,113000.00,337.039,3235.50,3.20,3.75,3.63,6.82,7.56,8.01,7.60,1.20,129.00,139.7,0.14,13.10,1214.00,N
Jun-92,124500.00,340.784,3359.10,3.20,3.96,3.75,6.69,7.39,7.90,7.80,1.24,67.00,140.2,0.36,13.54,1145.00,N
Jul-92,118000.00,352.452,3396.90,3.70,3.89,3.55,6.27,7.10,7.76,7.70,1.24,75.00,140.5,0.21,12.85,1139.00,N
Aug-92,123500.00,343.603,3318.50,3.70,3.37,3.17,5.82,6.72,7.46,7.60,1.22,135.00,140.9,0.28,12.87,1226.00,N
Sep-92,119500.00,345.3,3393.80,3.70,3.39,3.15,5.52,6.56,7.38,7.60,1.22,34.00,141.3,0.28,13.38,1186.00,N
Oct-92,125000.00,344.277,3257.40,4.40,3.58,2.61,5.18,6.23,7.30,7.30,1.22,181.00,141.8,0.35,13.66,1244.00,N
Nov-92,128900.00,334.924,3271.70,4.40,3.04,3.01,5.96,6.88,7.66,7.40,1.22,133.00,142,0.14,13.22,1214.00,N
Dec-92,126000.00,334.657,3226.30,4.40,3.17,3.33,6.24,6.94,7.57,7.40,1.20,222.00,141.9,-0.07,13.78,1227.00,N
Jan-93,118000.00,328.993,3305.20,3.30,2.66,3.08,5.90,6.60,7.33,7.30,1.18,300.00,142.6,0.49,13.46,1210.00,N
Feb-93,129400.00,329.31,3301.10,3.30,3.25,2.90,5.55,6.38,7.21,7.10,1.17,248.00,143.1,0.35,12.97,1210.00,N
Mar-93,125000.00,329.974,3310.00,3.30,3.65,2.95,5.12,5.94,6.83,7.00,1.16,-48.00,143.6,0.35,13.33,1083.00,N
Apr-93,127000.00,341.948,3370.80,2.80,3.31,2.90,5.24,6.06,6.97,7.10,1.18,303.00,144,0.28,14.53,1258.00,N
May-93,129900.00,367.045,3435.10,2.80,3.01,2.87,5.06,5.96,6.86,7.10,1.19,271.00,144.2,0.14,14.52,1260.00,N
Jun-93,124500.00,371.914,3427.60,2.80,3.33,3.04,5.28,6.07,6.88,7.00,1.19,179.00,144.4,0.14,14.49,1280.00,N
Jul-93,123900.00,392.034,3527.40,2.30,3.27,2.99,5.04,5.80,6.69,6.90,1.17,305.00,144.4,0.00,14.45,1254.00,N
