Date,Open,High,Low,Close,Volume
2/28/09,8000.62,8315.07,7033.62,7062.93,7134341690
3/31/09,7056.48,7930.69,6469.95,7608.92,10561063894
4/30/09,7606.13,8307.51,7483.87,8168.12,7795909336
5/31/09,8167.41,8591.93,8099.31,8500.33,6614792069
6/30/09,8501.53,8877.93,8259.43,8447,5524100354
7/31/09,8447.53,9246.43,8087.19,9171.61,4902335492
8/31/09,9173.65,9628.77,9116.52,9496.28,4042188535
9/30/09,9492.32,9917.99,9252.93,9712.28,4478504685
10/31/09,9711.6,10119.5,9430.46,9712.73,5151146842
11/30/09,9712.13,10495.6,9678.95,10344.8,3813529922
12/31/09,10343.8,10580.3,10235.6,10428,4174011218
1/31/10,10430.7,10729.8,10043.8,10067.3,4388026634
2/28/10,10069,10438.5,9835.09,10325.3,4279668738
3/31/10,10326.1,10955.5,10326.1,10856.6,4355611517
4/30/10,10857.3,11258,10844.1,11008.6,4237511255
5/31/10,11009.6,11177.7,9774.48,10136.6,5605683456
6/30/10,10133.9,10594.2,9753.84,9774.02,4941688684
7/31/10,9773.27,10585,9614.32,10465.9,4199014665
8/31/10,10468.8,10719.94,9936.62,10014.72,4081344058
9/30/10,10016.01,10948.88,10016.01,10788.05,3764965610
10/31/10,10789.72,11247.6,10711.12,11118.49,3787264851
11/30/10,11120.3,11451.53,10929.28,11006.02,3808125402
12/31/10,11007.23,11625,11007.23,11577.51,3253319684
1/31/11,11577.43,12020.52,11573.87,11891.93,3681744272
2/28/11,11892.5,12391.29,11892.5,12226.34,3220478620
3/31/11,12226.49,12383.46,11555.48,12319.73,3851824889
4/30/11,12321.02,12832.83,12093.89,12810.54,3321114294
5/31/11,12810.16,12876,12309.52,12569.79,3578011273
6/30/11,12569.41,12569.49,11862.53,12414.34,3876448867
7/31/11,12412.07,12753.89,12083.45,12143.24,3070041318
8/31/11,12144.22,12282.42,10604.07,11613.53,6188864691
9/30/11,11613.3,11716.84,10597.14,10913.38,4396505126
10/31/11,10912.1,12284.31,10404.49,11955.01,3907750464
11/30/11,11951.53,12187.51,11231.56,12045.68,3392029438
12/31/11,12046.21,12328.47,11735.19,12217.56,3147686104
1/31/12,12221.19,12841.95,12221.19,12632.91,2985259034
2/29/12,12632.76,13055.75,12632.76,12952.07,2715759256
3/31/12,12952.29,13289.08,12734.86,13212.04,3206254624
4/30/12,13211.36,13297.11,12710.56,13213.63,2589863440
5/31/12,13214.16,13338.66,12311.56,12393.45,3053335704
6/30/12,12391.56,12898.94,12035.09,12880.09,2921381080
7/31/12,12879.71,13128.64,12492.25,13008.68,2445827432
8/31/12,13007.47,13330.76,12778.9,13090.84,1753508288
9/30/12,13092.15,13653.24,12977.09,13437.13,2576023225
