Date,Open,High,Low,Close,Adj Close,Volume
1995-08-01,5.420000,5.490000,5.270000,5.270000,5.270000,0
1995-09-01,5.280000,5.360000,5.170000,5.240000,5.240000,0
1995-10-01,5.270000,5.350000,5.200000,5.310000,5.310000,0
1995-11-01,5.340000,5.440000,5.270000,5.320000,5.320000,0
1995-12-01,5.320000,5.350000,4.830000,4.960000,4.960000,0
1996-01-01,4.940000,5.060000,4.910000,4.910000,4.910000,0
1996-02-01,4.910000,4.910000,4.750000,4.880000,4.880000,0
1996-03-01,4.860000,5.060000,4.840000,5.000000,5.000000,0
1996-04-01,4.990000,5.040000,4.810000,5.010000,5.010000,0
1996-05-01,5.000000,5.060000,4.960000,5.040000,5.040000,0
1996-06-01,5.050000,5.150000,5.020000,5.030000,5.030000,0
1996-07-01,5.040000,5.230000,5.040000,5.180000,5.180000,0
1996-08-01,5.160000,5.180000,4.990000,5.140000,5.140000,0
1996-09-01,5.190000,5.290000,4.850000,4.910000,4.910000,0
1996-10-01,5.010000,5.040000,4.830000,5.010000,5.010000,0
1996-11-01,5.010000,5.040000,4.990000,4.990000,4.990000,0
1996-12-01,5.000000,5.070000,4.770000,5.050000,5.050000,0
1997-01-01,5.050000,5.060000,4.980000,5.010000,5.010000,0
1997-02-01,5.010000,5.080000,4.940000,5.070000,5.070000,0
1997-03-01,5.090000,5.270000,5.030000,5.170000,5.170000,0
1997-04-01,5.180000,5.200000,5.080000,5.100000,5.100000,0
1997-05-01,5.100000,5.270000,4.790000,4.820000,4.820000,0
1997-06-01,4.810000,5.050000,4.780000,5.050000,5.050000,0
1997-07-01,5.110000,5.130000,4.920000,5.100000,5.100000,0
1997-08-01,5.080000,5.190000,5.050000,5.090000,5.090000,0
1997-09-01,5.090000,5.090000,4.730000,4.970000,4.970000,0
1997-10-01,4.960000,5.120000,4.840000,5.060000,5.060000,0
1997-11-01,5.080000,5.200000,5.060000,5.060000,5.060000,0
1997-12-01,5.070000,5.370000,5.000000,5.200000,5.200000,0
1998-01-01,5.200000,5.210000,4.800000,5.040000,5.040000,0
1998-02-01,5.060000,5.200000,4.970000,5.180000,5.180000,0
1998-03-01,5.180000,5.190000,4.930000,4.990000,4.990000,0
1998-04-01,4.990000,5.070000,4.850000,4.850000,4.850000,0
1998-05-01,4.860000,5.100000,4.830000,4.890000,4.890000,0
1998-06-01,4.880000,5.100000,4.840000,4.970000,4.970000,0
1998-07-01,4.960000,5.020000,4.900000,4.950000,4.950000,0
1998-08-01,4.950000,4.980000,4.740000,4.760000,4.760000,0
1998-09-01,4.800000,4.800000,4.230000,4.250000,4.250000,0
1998-10-01,4.230000,4.290000,3.530000,4.210000,4.210000,0
1998-11-01,4.230000,4.580000,4.230000,4.420000,4.420000,0
1998-12-01,4.400000,4.500000,4.290000,4.350000,4.350000,0
1999-01-01,4.350000,4.420000,4.180000,4.360000,4.360000,0
1999-02-01,4.380000,4.550000,4.350000,4.550000,4.550000,0
1999-03-01,4.550000,4.580000,4.350000,4.360000,4.360000,0
1999-04-01,4.370000,4.430000,4.150000,4.430000,4.430000,0
1999-05-01,4.430000,4.570000,4.430000,4.510000,4.510000,0
1999-06-01,4.530000,4.760000,4.390000,4.670000,4.670000,0
1999-07-01,4.640000,4.670000,4.430000,4.620000,4.620000,0
1999-08-01,4.620000,4.870000,4.550000,4.850000,4.850000,0
1999-09-01,4.830000,4.830000,4.540000,4.710000,4.710000,0
1999-10-01,4.730000,5.010000,4.650000,4.960000,4.960000,0
1999-11-01,4.970000,5.180000,4.930000,5.150000,5.150000,0
1999-12-01,5.150000,5.440000,4.970000,5.170000,5.170000,0
2000-01-01,5.230000,5.530000,5.200000,5.530000,5.530000,0
2000-02-01,5.560000,5.680000,5.400000,5.640000,5.640000,0
2000-03-01,5.610000,5.780000,5.590000,5.720000,5.720000,0
2000-04-01,5.710000,5.740000,5.570000,5.650000,5.650000,0
2000-05-01,5.670000,6.050000,5.490000,5.490000,5.490000,0
2000-06-01,5.430000,5.850000,5.410000,5.700000,5.700000,0
2000-07-01,5.710000,6.040000,5.710000,6.020000,6.020000,0
2000-08-01,6.070000,6.140000,5.980000,6.110000,6.110000,0
2000-09-01,6.110000,6.110000,5.880000,6.030000,6.030000,0
2000-10-01,6.030000,6.180000,5.950000,6.150000,6.150000,0
2000-11-01,6.170000,6.230000,6.000000,6.010000,6.010000,0
2000-12-01,6.050000,6.050000,5.090000,5.730000,5.730000,0
2001-01-01,5.710000,5.760000,4.820000,4.840000,4.840000,0
2001-02-01,4.830000,4.950000,4.620000,4.720000,4.720000,0
2001-03-01,4.700000,4.750000,4.130000,4.180000,4.180000,0
2001-04-01,4.170000,4.190000,3.590000,3.830000,3.830000,0
2001-05-01,3.770000,3.820000,3.470000,3.540000,3.540000,0
2001-06-01,3.530000,3.600000,3.330000,3.560000,3.560000,0
2001-07-01,3.630000,3.630000,3.420000,3.440000,3.440000,0
2001-08-01,3.450000,3.460000,3.270000,3.280000,3.280000,0
2001-09-01,3.280000,3.380000,2.140000,2.300000,2.300000,0
2001-10-01,2.310000,2.340000,1.980000,2.010000,2.010000,0
